family,n,p,amplitude,qextra,field,multi,canonical_error,mean_error,mean_to_canonical,change_over_error,change_l2,canonical_relative,floor
quad,4.0,3.0,0.4,0.0,sine,xxy,0.15698297931499547,0.14609151552038444,0.9306200975281742,0.2008523207852506,0.03153039571919983,0.018444757726910413,0.0005839424829761287
quad,4.0,3.0,0.4,0.0,sine,xyy,0.35032664246105405,0.38364016370341275,1.0950927426139512,0.3923288747888746,0.13744325744530972,0.027441149240816223,0.0008759137244641719
quad,4.0,3.0,0.4,0.0,exponential,xy,0.0005036470111730131,0.00028815992080839976,0.5721465915925209,0.4807356169276386,0.00024212105663001975,0.0004299378745700529,3.847304601288658e-07
quad,4.0,3.0,0.4,0.0,exponential,xxy,0.023420480775855904,0.016010108695905557,0.6835943655097946,0.3234799402796926,0.007576055722695557,0.019992874975527736,3.847304601288658e-07
quad,4.0,3.0,0.4,0.0,exponential,xyy,0.003484091785488341,0.003697028860584056,1.0611169533427975,0.8982042359798679,0.003129426000268289,0.005948384419361773,1.923652300644329e-07
quad,4.0,3.0,0.4,0.0,cubic,xy,0.00021089018776710195,0.00019799695517511563,0.9388628142043998,0.7916784242861601,0.0001669572115488717,9.762318733979527e-05,2.720500363190909e-15
quad,4.0,3.0,0.4,0.0,cubic,xxy,0.008748647584091954,0.006073792581666817,0.6942550289385365,0.3296438785292906,0.0028839381215059797,0.004374323792045978,2.553908918008113e-15
quad,4.0,3.0,0.4,0.0,cubic,xyy,0.002566186831356728,0.009001158753340286,3.5076007106549705,3.421121506850081,0.008779236959349963,0.0012830934156783642,2.553908918008113e-15
quad,8.0,3.0,0.4,0.0,sine,xy,0.0015658227947702602,0.0015880704442215912,1.0142082804808032,0.19262787214567362,0.000301621113113787,0.00037019258392374484,1.9824244376129618e-05
quad,8.0,3.0,0.4,0.0,sine,xxy,0.04329111159600016,0.04063006861265962,0.938531423998214,0.17698618056243193,0.007661928493678074,0.005086500897110914,3.67741508330467e-05
quad,8.0,3.0,0.4,0.0,sine,xyy,0.1024274586527721,0.10976726932775252,1.0716586232980971,0.3390594791748515,0.034729000784012545,0.008023161354508498,5.516122624959322e-05
quad,8.0,3.0,0.4,0.0,exponential,xy,7.097913509888435e-05,4.840083099164929e-05,0.6819022368224102,0.43019156722403695,3.053462536839571e-05,6.059128279578311e-05,2.410498858244029e-08
quad,8.0,3.0,0.4,0.0,exponential,xxy,0.006114872712300797,0.004353585539991728,0.7119666663271617,0.31119653877671444,0.0019029272231281878,0.005219956276658808,2.410498858244029e-08
quad,8.0,3.0,0.4,0.0,exponential,xyy,0.0008247193410908676,0.0009420559824800973,1.1422746327666171,0.9275693221090056,0.0007649843601458418,0.0014080420324528331,1.2052494291220144e-08
quad,8.0,3.0,0.4,0.0,cubic,xy,3.566770657665772e-05,3.436381800791422e-05,0.9634434424332511,0.5916709627964115,2.1103546290950974e-05,1.6510939830729604e-05,2.5809170334896038e-15
quad,8.0,3.0,0.4,0.0,cubic,xxy,0.002347351239737656,0.0017312365334220222,0.7375276882787717,0.3075997316768673,0.0007220446114946649,0.0011736756198688265,2.606474086580146e-15
quad,8.0,3.0,0.4,0.0,cubic,xyy,0.0010921521878751795,0.0024243502050974013,2.219791556535779,2.0164893944046294,0.0022023133039261117,0.000546076093937589,2.606474086580146e-15
quad,2.0,4.0,0.4,0.0,sine,xy,0.007457341469549388,0.007880135278114929,1.0566949777332764,0.41589494196202764,0.0031014705976692646,0.0017630682839939373,0.0003965211422620431
quad,2.0,4.0,0.4,0.0,sine,xxy,0.0948162427186362,0.08156074382162076,0.8601980154776787,0.2585503316080841,0.02451477099673598,0.011140460151491907,0.000757267718908978
quad,2.0,4.0,0.4,0.0,sine,xyy,0.22733854712147933,0.2690665078600723,1.183549869861249,0.612329676738177,0.13920613906902224,0.01780746949739732,0.0011359015783634734
quad,2.0,4.0,0.4,0.0,exponential,xy,0.00016904791163671674,8.839927106899596e-05,0.5229243603965107,0.500054659071084,8.453319582017713e-05,0.00014430761667843782,1.733478603507823e-07
quad,2.0,4.0,0.4,0.0,exponential,xxy,0.005961055485261912,0.00401126676825396,0.6729121676809415,0.33030006811697943,0.0019689370328311033,0.005088650321896295,1.733478603507823e-07
quad,2.0,4.0,0.4,0.0,exponential,xyy,0.0012405534216359277,0.0008883240349846017,0.7160707628480535,0.7661464449669736,0.0009504455937779811,0.002117994903400853,8.667393017539115e-08
quad,2.0,4.0,0.4,0.0,cubic,xy,8.175472720164432e-05,6.680794311518182e-05,0.8171752925112582,0.792835150275924,6.481802142668284e-05,3.784508484735204e-05,2.8771301761163067e-15
quad,2.0,4.0,0.4,0.0,cubic,xxy,0.0028176550247061985,0.0018950606663475612,0.6725666022742306,0.34513685337700734,0.0009724765891290112,0.001408827512353098,2.299734916131712e-15
quad,2.0,4.0,0.4,0.0,cubic,xyy,0.0006038010979889288,0.002391799134515029,3.961236808746056,3.9988353720166336,0.00241450118830061,0.0003019005489944641,2.299734916131712e-15
quad,4.0,4.0,0.4,0.0,sine,xy,0.0006072055597780612,0.000622795632354459,1.0256751150007521,0.3220785258926421,0.0001955678716071345,0.0001435558326892834,1.2330507607377884e-05
quad,4.0,4.0,0.4,0.0,sine,xxy,0.012244812318845872,0.010500078069065586,0.8575123730483821,0.23221247627796657,0.00284339819011815,0.00143870754407976,2.5261202763545643e-05
quad,4.0,4.0,0.4,0.0,sine,xyy,0.03305086958397388,0.03725029278722272,1.1270593862161227,0.5300132338576894,0.01751739827001074,0.0025888805899009076,3.789180414531046e-05
quad,4.0,4.0,0.4,0.0,exponential,xy,1.1060390029353652e-05,6.256377781771784e-06,0.5656561626821215,0.4852738492106124,5.367318043315125e-06,9.441693240789575e-06,5.417599346516285e-09
quad,4.0,4.0,0.4,0.0,exponential,xxy,0.0007633309161078649,0.0005201669259398502,0.6814435456015858,0.3266102321025422,0.0002493116876810359,0.0006516168355703559,5.417599346516285e-09
quad,4.0,4.0,0.4,0.0,exponential,xyy,0.0001209608109127588,0.0001092520140223082,0.9032017328414291,0.8076203133642691,9.769040801415836e-05,0.00020651620200814227,2.7087996732581424e-09
quad,4.0,4.0,0.4,0.0,cubic,xy,5.705983393622867e-06,4.894651946095825e-06,0.857810408555727,0.7087665724278349,4.044210292228225e-06,2.641357057392217e-06,2.8564721948819565e-15
quad,4.0,4.0,0.4,0.0,cubic,xxy,0.00035907541087596263,0.0002476513315590435,0.6896917027955196,0.3297872050989746,0.00011841847617254965,0.0001795377054379813,2.7306850460976774e-15
quad,4.0,4.0,0.4,0.0,cubic,xyy,8.804276109468957e-05,0.00030599994148084234,3.4755832015733907,3.3942863392322717,0.00029884234125199537,4.402138054734478e-05,2.7306850460976774e-15
quad,8.0,4.0,0.4,0.0,sine,xy,5.839666783986703e-05,5.900969507788647e-05,1.010497640716427,0.21002054922011465,1.226450025235348e-05,1.3806168509220603e-05,3.8676702552125346e-07
quad,8.0,4.0,0.4,0.0,sine,xxy,0.0016989804568009288,0.0015037498748430844,0.8850895658179312,0.2025802961558,0.0003441799641016485,0.00019962216951920986,7.982481052756605e-07
quad,8.0,4.0,0.4,0.0,sine,xyy,0.005484403181820404,0.005886345648350912,1.0732882782693403,0.40062136313724056,0.0021971690786951096,0.00042959429277740914,1.197372157907883e-06
quad,8.0,4.0,0.4,0.0,exponential,xy,7.825059565672989e-07,5.343080663628808e-07,0.6828166122936447,0.4303090457191718,3.3671939144004206e-07,6.679855937621759e-07,1.6931193417687414e-10
quad,8.0,4.0,0.4,0.0,exponential,xxy,0.00010029778949686993,7.176814537977463e-05,0.7155506192089544,0.3117262776168127,3.126545657305392e-05,8.561912904025072e-05,1.6931193417687414e-10
quad,8.0,4.0,0.4,0.0,exponential,xyy,1.428290868125738e-05,1.4076903072094685e-05,0.9855767747480578,0.7943389087400281,1.134547009550346e-05,2.4385187501841332e-05,8.465596708843707e-11
quad,8.0,4.0,0.4,0.0,cubic,xy,4.814655992530495e-07,4.452937051910955e-07,0.924871280278235,0.5247508781564025,2.5264949601013634e-07,2.22875264568755e-07,2.791579670064742e-15
quad,8.0,4.0,0.4,0.0,cubic,xxy,4.9090516498907885e-05,3.680877607325123e-05,0.7498143979412014,0.29950677977602536,1.4702942514129744e-05,2.4545258249453943e-05,2.6189213955164464e-15
quad,8.0,4.0,0.4,0.0,cubic,xyy,2.06676724115267e-05,4.2161440042590784e-05,2.0399704041697824,1.8029125687660814,3.7262006357881476e-05,1.033383620576335e-05,2.6189213955164464e-15
quad,2.0,5.0,0.4,0.0,sine,xy,0.000752360159341226,0.0007817869088681102,1.039112583463551,0.4733070557666273,0.00035609737189390623,0.00017787335345866817,2.435002668245694e-05
quad,2.0,5.0,0.4,0.0,sine,xxy,0.0105980615430111,0.009373363877849303,0.8844413518272665,0.2955567668253102,0.0031323288042680187,0.0012452221150898626,6.0911413733501045e-05
quad,2.0,5.0,0.4,0.0,sine,xyy,0.03242979108194791,0.037328815234740124,1.1510655477370393,0.703717315561469,0.022821405524407652,0.0025402313985501547,9.136712060026374e-05
quad,2.0,5.0,0.4,0.0,exponential,xy,5.309168198440042e-06,2.757635515270121e-06,0.5194100868908955,0.49880991558701043,2.6482657409011176e-06,4.532167252727129e-06,2.6397345635479067e-09
quad,2.0,5.0,0.4,0.0,exponential,xxy,0.00026145001663600484,0.00017575602895223428,0.6722356770660481,0.33005282850966877,8.629231750461336e-05,0.0002231866008635451,2.6397345635479067e-09
