family,map,field,p,n,amplitude,derivative,rate
quad,coupled,exponential,4.0,16.0,1.2,xxy,2.5404845827286886
quad,coupled,exponential,4.0,16.0,1.2,xyy,2.1412072509812763
quad,coupled,exponential,4.0,16.0,1.2,yyy,2.0052305456433492
tri,coupled,sine,1.0,4.0,0.4,x,0.9236731302530032
tri,coupled,sine,1.0,4.0,0.4,y,0.9297438675585155
tri,coupled,shortwave,1.0,4.0,0.4,x,0.5549258511339958
tri,coupled,shortwave,1.0,4.0,0.4,y,0.538963060657238
tri,coupled,exponential,1.0,4.0,0.4,x,0.9791286955320923
tri,coupled,exponential,1.0,4.0,0.4,y,0.9330577138468856
tri,coupled,sine,1.0,8.0,0.4,x,0.9802551736252892
tri,coupled,sine,1.0,8.0,0.4,y,0.9822529287349685
tri,coupled,shortwave,1.0,8.0,0.4,x,0.8736608619689565
tri,coupled,shortwave,1.0,8.0,0.4,y,0.8676873739124896
tri,coupled,exponential,1.0,8.0,0.4,x,0.9938783946418982
tri,coupled,exponential,1.0,8.0,0.4,y,0.9806249992497504
tri,coupled,sine,2.0,4.0,0.4,x,1.912300458874184
tri,coupled,sine,2.0,4.0,0.4,y,1.9259853054960325
tri,coupled,sine,2.0,4.0,0.4,xx,0.9083345744343225
tri,coupled,sine,2.0,4.0,0.4,xy,0.9405762926040631
tri,coupled,sine,2.0,4.0,0.4,yy,0.9417873151926368
tri,coupled,shortwave,2.0,4.0,0.4,x,1.4609801332968209
tri,coupled,shortwave,2.0,4.0,0.4,y,1.4427042141869364
tri,coupled,shortwave,2.0,4.0,0.4,xx,0.4968081722091483
tri,coupled,shortwave,2.0,4.0,0.4,xy,0.591342842382341
tri,coupled,shortwave,2.0,4.0,0.4,yy,0.4442209720825564
tri,coupled,exponential,2.0,4.0,0.4,x,1.815265166830499
tri,coupled,exponential,2.0,4.0,0.4,y,1.7674819779477704
tri,coupled,exponential,2.0,4.0,0.4,xx,0.8380358716421734
tri,coupled,exponential,2.0,4.0,0.4,xy,0.8389943534267895
tri,coupled,exponential,2.0,4.0,0.4,yy,0.8001685504613525
tri,coupled,sine,2.0,8.0,0.4,x,1.9789052678535908
tri,coupled,sine,2.0,8.0,0.4,y,1.9809904066263404
tri,coupled,sine,2.0,8.0,0.4,xx,0.9785093644652892
tri,coupled,sine,2.0,8.0,0.4,xy,0.9876488937604194
tri,coupled,sine,2.0,8.0,0.4,yy,0.984587587197318
tri,coupled,shortwave,2.0,8.0,0.4,x,1.8668748371275983
tri,coupled,shortwave,2.0,8.0,0.4,y,1.8612070107929715
tri,coupled,shortwave,2.0,8.0,0.4,xx,0.8728176081649464
tri,coupled,shortwave,2.0,8.0,0.4,xy,0.8953939426785741
tri,coupled,shortwave,2.0,8.0,0.4,yy,0.8640468719814701
tri,coupled,exponential,2.0,8.0,0.4,x,1.952812298053936
tri,coupled,exponential,2.0,8.0,0.4,y,1.9427995530373647
tri,coupled,exponential,2.0,8.0,0.4,xx,0.9593678214989019
tri,coupled,exponential,2.0,8.0,0.4,xy,0.957691088617071
tri,coupled,exponential,2.0,8.0,0.4,yy,0.950864563812263
tri,coupled,sine,3.0,4.0,0.4,x,2.9155438035619636
tri,coupled,sine,3.0,4.0,0.4,y,2.9095209249863685
tri,coupled,sine,3.0,4.0,0.4,xx,1.9211606089770539
tri,coupled,sine,3.0,4.0,0.4,xy,1.947174403522833
tri,coupled,sine,3.0,4.0,0.4,yy,1.9084694858700513
tri,coupled,sine,3.0,4.0,0.4,xxx,0.9292098313655103
tri,coupled,sine,3.0,4.0,0.4,xxy,0.9639240222311947
tri,coupled,sine,3.0,4.0,0.4,xyy,0.958470014129136
tri,coupled,sine,3.0,4.0,0.4,yyy,0.9109172192285339
tri,coupled,shortwave,3.0,4.0,0.4,x,2.5360857492566367
tri,coupled,shortwave,3.0,4.0,0.4,y,2.5065268982060007
tri,coupled,shortwave,3.0,4.0,0.4,xx,1.5445064806697864
tri,coupled,shortwave,3.0,4.0,0.4,xy,1.6054301083841216
tri,coupled,shortwave,3.0,4.0,0.4,yy,1.5098027468078312
tri,coupled,shortwave,3.0,4.0,0.4,xxx,0.6083459416833619
tri,coupled,shortwave,3.0,4.0,0.4,xxy,0.6690468481547839
tri,coupled,shortwave,3.0,4.0,0.4,xyy,0.6477564412706915
tri,coupled,shortwave,3.0,4.0,0.4,yyy,0.5999554915763912
tri,coupled,exponential,3.0,4.0,0.4,x,2.83506150279475
tri,coupled,exponential,3.0,4.0,0.4,y,2.835577844182458
tri,coupled,exponential,3.0,4.0,0.4,xx,1.806850957880302
tri,coupled,exponential,3.0,4.0,0.4,xy,1.8383455095069554
tri,coupled,exponential,3.0,4.0,0.4,yy,1.8230962507387316
tri,coupled,exponential,3.0,4.0,0.4,xxx,0.8132183790759395
tri,coupled,exponential,3.0,4.0,0.4,xxy,0.8314250144676072
tri,coupled,exponential,3.0,4.0,0.4,xyy,0.8635773655024748
tri,coupled,exponential,3.0,4.0,0.4,yyy,0.7759718299148658
tri,coupled,sine,3.0,8.0,0.4,x,2.96769963790991
tri,coupled,sine,3.0,8.0,0.4,y,2.969287585038476
tri,coupled,sine,3.0,8.0,0.4,xx,1.9731665911289529
tri,coupled,sine,3.0,8.0,0.4,xy,1.9779853265549443
tri,coupled,sine,3.0,8.0,0.4,yy,1.9722228042943957
tri,coupled,sine,3.0,8.0,0.4,xxx,0.9855563198816164
tri,coupled,sine,3.0,8.0,0.4,xxy,0.9851108596504962
tri,coupled,sine,3.0,8.0,0.4,xyy,0.9824623732593921
tri,coupled,sine,3.0,8.0,0.4,yyy,0.9788126503536245
tri,coupled,shortwave,3.0,8.0,0.4,x,2.8759322749541356
tri,coupled,shortwave,3.0,8.0,0.4,y,2.871299826013886
tri,coupled,shortwave,3.0,8.0,0.4,xx,1.874583766915755
tri,coupled,shortwave,3.0,8.0,0.4,xy,1.895488408511154
tri,coupled,shortwave,3.0,8.0,0.4,yy,1.8641259480532675
tri,coupled,shortwave,3.0,8.0,0.4,xxx,0.8809812464890963
tri,coupled,shortwave,3.0,8.0,0.4,xxy,0.9099124757455745
