dimension,n,curved,capacity,point,xi,eta,zeta,x,y,z,field,dx,dy,dz,order,method,value,input_error,geometry_residual,inverse_residual,initialization_seconds,evaluation_seconds,reused_inverse_residual
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,1,1,0,2,recursive,-8.0495295801224109e-11,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.14839608399779536,0.012771875015459955,0
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,1,1,0,2,direct,5.0364006577732645e-10,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.14839608399779536,0.012771875015459955,0
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,1,1,0,2,fe_geometry,5.0364006577732634e-10,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.14839608399779536,0.012771875015459955,0
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,1,1,0,2,reused,2.5722525336226845e-13,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.14839608399779536,0.012771875015459955,0
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,1,1,0,2,reused_centered,6.0923683063599086e-12,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.14839608399779536,0.012771875015459955,0
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,1,0,1,2,recursive,1.825404119505668e-11,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.14839608399779536,0.012771875015459955,0
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,1,0,1,2,direct,-1.0862700779274168e-09,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.14839608399779536,0.012771875015459955,0
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,1,0,1,2,fe_geometry,-1.0862700779274172e-09,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.14839608399779536,0.012771875015459955,0
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,1,0,1,2,reused,-1.686635005711061e-13,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.14839608399779536,0.012771875015459955,0
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,1,0,1,2,reused_centered,2.2833432403916478e-12,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.14839608399779536,0.012771875015459955,0
