n,p,curved,jump,method,cells,dofs,time_ms,time_q25_ms,time_q75_ms,slowdown,ratio_q25,ratio_q75,overhead_percent,direct_filter_share_percent,dg_ms,detector_ms,decay_ms,active_percent,filter_setup_ms,common_setup_ms,peak_mib,repetitions,trajectory_time,steps_per_trajectory,relative_iqr_percent,other_ms
32,3,False,False,ofdg,1024,16384,20.492833333333376,20.48300000000003,20.845000000000077,1.5124606376697505,1.5114437153316111,1.5157949265061896,51.24606376697505,34.07651715039586,13.517222222222205,0.0,7.002000000000151,,7.298000000000027,18.306,78.09375,5,0.005,6.0,1.7664712053809737,8.333333333919908e-05
32,3,False,False,ofdg-kxrcf,1024,16384,18.683000000000025,18.67372222222221,18.722333333333335,1.3855010437447808,1.3693334645411002,1.3874008857849283,38.55010437447808,27.05859312407689,13.638666666666678,3.2227777777776483,1.8344444444444719,0.0,15.08099999999946,18.306,78.09375,5,0.005,6.0,0.26018900129061107,1.541976423090495e-15
32,3,True,False,dg,1024,16384,16.615111111111098,16.567833333333322,16.774999999999984,1.0,1.0,1.0,0.0,0.0,16.615055555555532,0.0,0.0,,0.0,33.74699999999999,128.21875,5,0.005,6.0,1.2468569441472033,5.5555555566404946e-05
32,3,True,False,ofdg,1024,16384,30.280916666666585,30.272000000000077,30.444833333333325,1.8267124045590373,1.8051217088921976,1.8323580943719247,82.67124045590373,45.68473687688617,16.57358333333329,0.0,13.82633333333335,,468.1480000000011,33.74699999999999,128.21875,5,0.005,6.0,0.5707665168654021,8.333333334960742e-05
32,3,True,False,ofdg-kxrcf,1024,16384,29.194249999999975,28.98191666666679,30.77816666666666,1.7621042783707381,1.7529149473797434,1.8524201530066349,76.21042783707381,41.65304584709887,17.00075000000008,8.3500833333335,3.702500000000164,0.0,498.4679999999999,33.74699999999999,128.21875,5,0.005,6.0,6.1527526824627135,0.00016666666668533706
64,3,False,False,dg,4096,65536,54.7745833333333,54.59941666666657,55.17083333333331,1.0,1.0,1.0,0.0,0.0,54.77433333333333,0.0,0.0,,0.0,65.44700000000003,161.6875,5,0.005,12.0,1.043214994789389,0.00024999999996092964
64,3,False,False,ofdg,4096,65536,85.45216666666676,85.40916666666666,85.48691666666684,1.5589545029248688,1.5480854920323242,1.5650747184417462,55.895450292486885,33.21624378550973,57.06791666666655,0.0,28.384000000000118,,29.19699999999992,65.44700000000003,161.6875,5,0.005,12.0,0.09098657533572893,0.00025000000008582973
64,3,False,False,ofdg-kxrcf,4096,65536,74.98558333333334,74.88608333333335,75.28858333333336,1.3657033751968328,1.3646446643002805,1.3715546411515414,36.570337519683285,26.855162158948314,54.83975000000019,12.764666666666683,7.374500000000062,0.0,61.23900000000049,65.44700000000003,161.6875,5,0.005,12.0,0.5367698457592639,0.00016666666653730733
64,3,True,False,dg,4096,65536,68.26283333333312,68.21300000000008,70.37900000000026,1.0,1.0,1.0,0.0,0.0,68.26275,0.0,0.0,,0.0,160.8900000000001,391.40625,5,0.005,12.0,3.1730297355567156,0.00016666666683799272
64,3,True,False,ofdg,4096,65536,122.84508333333359,122.60908333333349,123.46933333333317,1.7914473780657623,1.7647015453240524,1.796132351181837,79.14473780657623,45.58797054009809,66.75400000000042,0.0,56.03725000000074,,1910.426000000001,160.8900000000001,391.40625,5,0.005,12.0,0.7002722263335833,0.0004166666685567755
