family,n,p,amplitude,basis,map,extra,field,derivative,order,method,error_ratio,face_ratio,jump_ratio,relative_l2,error_l2
quad,16.0,2.0,1.2,gll,coupled,0.0,sine,xy,2,physical_k2,1.0082797899657328,1.0140641666530208,0.9785478736204255,0.009682560576151883,0.04095482924370412
quad,16.0,2.0,1.2,gll,coupled,0.0,sine,yy,2,physical_k,1.008269654013872,1.0185174367160492,1.0098839455023103,0.06436275363889371,0.4083577217313534
quad,16.0,2.0,1.2,gll,coupled,0.0,sine,yy,2,physical_k1,0.9994920791332473,0.999482356462893,0.9991194827353643,0.0638024383627773,0.40480272980403614
quad,16.0,2.0,1.2,gll,coupled,0.0,sine,yy,2,physical_k2,1.0001947183245459,1.0007846128968774,1.000836800983736,0.06384729123818274,0.4050873046082223
quad,16.0,2.0,1.2,gll,coupled,0.0,shortwave,x,1,physical_k,1.725475474800284,1.6879587695368854,6.1276382905387,0.02154196600992838,0.1218117703436162
quad,16.0,2.0,1.2,gll,coupled,0.0,shortwave,x,1,physical_k1,1.0018672124057584,1.0026919415275746,1.04774850566193,0.01250796650042481,0.07072787795288409
quad,16.0,2.0,1.2,gll,coupled,0.0,shortwave,x,1,physical_k2,1.0000863875114552,1.000386553745174,0.9933527926308575,0.01248573351600806,0.07060215873159398
quad,16.0,2.0,1.2,gll,coupled,0.0,shortwave,y,1,physical_k,2.48695055163841,2.4143892584577085,9.478042927554563,0.02118296409281138,0.08983631146112711
quad,16.0,2.0,1.2,gll,coupled,0.0,shortwave,y,1,physical_k1,1.0063521643803424,1.0076883277302868,1.1596536563342799,0.008571751355791036,0.03635253882281313
quad,16.0,2.0,1.2,gll,coupled,0.0,shortwave,y,1,physical_k2,1.0000908816302674,1.000641557705081,0.9925948597859906,0.008518419966639613,0.03612636201084904
quad,16.0,2.0,1.2,gll,coupled,0.0,shortwave,xx,2,physical_k,1.1520519197965287,1.1592673768937345,1.1689499291862624,0.1870352016643816,8.467579136494155
quad,16.0,2.0,1.2,gll,coupled,0.0,shortwave,xx,2,physical_k1,0.9995535834864907,1.0002221760406713,0.9982384655866089,0.1622771533550066,7.346716692102751
