dimension,n,curved,field,order,method,max_scaled_error,max_absolute_error,max_nonzero_relative_error
2.0,2.0,1.0,constant,3.0,fe_geometry,1.1136636932876126e-11,1.1136636932876126e-11,nan
2.0,2.0,1.0,constant,4.0,recursive,3.319631103218114e-10,3.319631103218114e-10,nan
2.0,2.0,1.0,constant,4.0,direct,1.0305026561276621e-10,1.0305026561276621e-10,nan
2.0,2.0,1.0,constant,4.0,fe_geometry,1.0305026561276335e-10,1.0305026561276335e-10,nan
2.0,2.0,1.0,constant,5.0,recursive,4.869232685138642e-09,4.869232685138642e-09,nan
2.0,2.0,1.0,constant,5.0,direct,2.0324910877773334e-09,2.0324910877773334e-09,nan
2.0,2.0,1.0,constant,5.0,fe_geometry,2.032491087777232e-09,2.032491087777232e-09,nan
2.0,2.0,1.0,constant,6.0,recursive,5.567542130530999e-08,5.567542130530999e-08,nan
2.0,2.0,1.0,constant,6.0,direct,2.5925737309322624e-08,2.5925737309322624e-08,nan
2.0,2.0,1.0,constant,6.0,fe_geometry,2.5925737309320963e-08,2.5925737309320963e-08,nan
2.0,2.0,1.0,constant,7.0,recursive,8.866243085387541e-07,8.866243085387541e-07,nan
2.0,2.0,1.0,constant,7.0,direct,4.0310416577453717e-07,4.0310416577453717e-07,nan
2.0,2.0,1.0,constant,7.0,fe_geometry,4.0310416577449376e-07,4.0310416577449376e-07,nan
2.0,2.0,1.0,constant,8.0,recursive,1.4164096286818813e-05,1.4164096286818813e-05,nan
2.0,2.0,1.0,constant,8.0,direct,6.522879827221763e-06,6.522879827221763e-06,nan
2.0,2.0,1.0,constant,8.0,fe_geometry,6.522879827221645e-06,6.522879827221645e-06,nan
2.0,2.0,1.0,constant,9.0,recursive,0.00021757474685536542,0.00021757474685536542,nan
2.0,2.0,1.0,constant,9.0,direct,0.0001285698047551653,0.0001285698047551653,nan
2.0,2.0,1.0,constant,9.0,fe_geometry,0.00012856980475515578,0.00012856980475515578,nan
2.0,2.0,1.0,constant,10.0,recursive,0.0033048861386975738,0.0033048861386975738,nan
2.0,2.0,1.0,constant,10.0,direct,0.0029493099428371736,0.0029493099428371736,nan
2.0,2.0,1.0,constant,10.0,fe_geometry,0.0029493099428370226,0.0029493099428370226,nan
2.0,2.0,1.0,quintic,1.0,recursive,0.0007980874667421894,0.0007980874667421894,0.010493372247906555
2.0,2.0,1.0,quintic,1.0,direct,2.0566881531181025e-14,2.0566881531181025e-14,2.7041640531737993e-13
2.0,2.0,1.0,quintic,1.0,fe_geometry,2.6256774532384952e-14,2.6256774532384952e-14,3.4522796144432036e-13
2.0,2.0,1.0,quintic,2.0,recursive,0.032805900529652376,0.032805900529652376,0.08630351094794857
2.0,2.0,1.0,quintic,2.0,direct,1.580957587066223e-13,1.580957587066223e-13,5.612399434085088e-13
2.0,2.0,1.0,quintic,2.0,fe_geometry,2.1133095273739855e-13,2.1133095273739855e-13,7.502248822177644e-13
2.0,2.0,1.0,quintic,3.0,recursive,0.3927250571718347,0.6401268583826301,0.3927250571718347
2.0,2.0,1.0,quintic,3.0,direct,2.0238298634341953e-12,3.339550858072471e-12,2.0238298634341953e-12
2.0,2.0,1.0,quintic,3.0,fe_geometry,2.4692482072113597e-12,3.47455397786689e-12,2.4692482072113597e-12
2.0,2.0,1.0,quintic,4.0,recursive,0.43297520082658913,5.257717521198931,0.43297520082658913
2.0,2.0,1.0,quintic,4.0,direct,9.39428469777882e-12,2.318456537864222e-11,9.39428469777882e-12
2.0,2.0,1.0,quintic,4.0,fe_geometry,1.060638080987563e-11,3.518607627484016e-11,1.060638080987563e-11
2.0,2.0,1.0,quintic,5.0,recursive,0.15133043538159274,187.62230426437554,0.15133043538159274
2.0,2.0,1.0,quintic,5.0,direct,4.639550842671408e-11,5.297806637827307e-10,4.639550842671408e-11
2.0,2.0,1.0,quintic,5.0,fe_geometry,4.9449316075779774e-11,7.22138793207705e-10,4.9449316075779774e-11
2.0,2.0,1.0,quintic,6.0,recursive,0.236027711062279,3124.8886728159705,0.236027711062279
2.0,2.0,1.0,quintic,6.0,direct,1.7828083060919084e-10,9.40781319513917e-09,1.7828083060919084e-10
2.0,2.0,1.0,quintic,6.0,fe_geometry,1.8327768383359307e-10,1.4799297787249088e-08,1.8327768383359307e-10
2.0,2.0,1.0,quintic,7.0,recursive,0.28962408674658585,35572.70492957905,0.28962408674658585
2.0,2.0,1.0,quintic,7.0,direct,4.451518335207405e-10,1.4336546882987022e-07,4.451518335207405e-10
2.0,2.0,1.0,quintic,7.0,fe_geometry,4.774136177225283e-10,2.743327058851719e-07,4.774136177225283e-10
2.0,2.0,1.0,quintic,8.0,recursive,0.24621563647250957,3850498.022226367,0.24621563647250957
2.0,2.0,1.0,quintic,8.0,direct,5.494748723862909e-10,2.8274953365325928e-06,5.494748723862909e-10
2.0,2.0,1.0,quintic,8.0,fe_geometry,5.218991244082996e-10,5.33275306224823e-06,5.218991244082996e-10
2.0,2.0,1.0,quintic,9.0,recursive,0.4778910863084637,162729059.7005077,0.4778910863084637
2.0,2.0,1.0,quintic,9.0,direct,1.2252670177615651e-09,6.490945816040039e-05,1.2252670177615651e-09
2.0,2.0,1.0,quintic,9.0,fe_geometry,1.373896550250261e-09,0.0001112520694732666,1.373896550250261e-09
