dimension,n,curved,capacity,point,xi,eta,zeta,x,y,z,field,dx,dy,dz,order,method,value,input_error,geometry_residual,inverse_residual,initialization_seconds,evaluation_seconds,reference,absolute_error,scaled_error,relative_error
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,5.0,1.0,0.0,6.0,fe_geometry,-7.564213156000198e-09,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,7.564213156000198e-09,7.564213156000198e-09,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,4.0,2.0,0.0,6.0,recursive,-2.0334861199449235e-08,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,2.0334861199449235e-08,2.0334861199449235e-08,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,4.0,2.0,0.0,6.0,direct,1.0874944855459043e-08,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,1.0874944855459043e-08,1.0874944855459043e-08,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,4.0,2.0,0.0,6.0,fe_geometry,1.0874944855458945e-08,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,1.0874944855458945e-08,1.0874944855458945e-08,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,3.0,3.0,0.0,6.0,recursive,-2.9762489990405173e-09,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,2.9762489990405173e-09,2.9762489990405173e-09,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,3.0,3.0,0.0,6.0,direct,1.7685257771518086e-08,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,1.7685257771518086e-08,1.7685257771518086e-08,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,3.0,3.0,0.0,6.0,fe_geometry,1.7685257771517642e-08,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,1.7685257771517642e-08,1.7685257771517642e-08,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,2.0,4.0,0.0,6.0,recursive,-3.076137369832136e-08,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,3.076137369832136e-08,3.076137369832136e-08,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,2.0,4.0,0.0,6.0,direct,3.2330100657418366e-09,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,3.2330100657418366e-09,3.2330100657418366e-09,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,2.0,4.0,0.0,6.0,fe_geometry,3.233010065741184e-09,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,3.233010065741184e-09,3.233010065741184e-09,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,1.0,5.0,0.0,6.0,recursive,2.4136875696608914e-09,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,2.4136875696608914e-09,2.4136875696608914e-09,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,1.0,5.0,0.0,6.0,direct,9.829571354202927e-09,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,9.829571354202927e-09,9.829571354202927e-09,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,1.0,5.0,0.0,6.0,fe_geometry,9.829571354202439e-09,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,9.829571354202439e-09,9.829571354202439e-09,nan
