dimension,n,curved,field,method,order,max_absolute_error,max_scaled_error,max_element_scaled_error,discrete_relative_l2
2,8,0,constant,reused_centered,1,4.034667565623132e-14,4.034667565623132e-14,5.043334457028915e-15,nan
2,8,0,constant,recursive,2,1.473393158047581e-11,1.473393158047581e-11,2.302176809449345e-13,nan
2,8,0,constant,direct,2,1.615390488041157e-11,1.615390488041157e-11,2.524047637564308e-13,nan
2,8,0,constant,fe_geometry,2,1.6153904880410963e-11,1.6153904880410963e-11,2.524047637564213e-13,nan
2,8,0,constant,reused,2,1.8079460803073297e-12,1.8079460803073297e-12,2.8249157504802026e-14,nan
2,8,0,constant,reused_centered,2,4.187893037948647e-12,4.187893037948647e-12,6.543582871794761e-14,nan
2,8,0,constant,recursive,3,1.102002156765192e-09,1.102002156765192e-09,2.1523479624320155e-12,nan
2,8,0,constant,direct,3,1.5008840819064063e-09,1.5008840819064063e-09,2.93141422247345e-12,nan
2,8,0,constant,fe_geometry,3,1.5008840819062481e-09,1.5008840819062481e-09,2.931414222473141e-12,nan
2,8,0,constant,reused,3,2.0773766807965565e-10,2.0773766807965565e-10,4.0573763296807745e-13,nan
2,8,0,constant,reused_centered,3,2.2891778622286737e-10,2.2891778622286737e-10,4.4710505121653784e-13,nan
2,8,0,constant,recursive,4,5.682526820799678e-08,5.682526820799678e-08,1.3873356496092964e-11,nan
2,8,0,constant,direct,4,7.691987411817535e-08,7.691987411817535e-08,1.8779266142132653e-11,nan
2,8,0,constant,fe_geometry,4,7.691987411815336e-08,7.691987411815336e-08,1.8779266142127286e-11,nan
2,8,0,constant,reused,4,1.287153649624259e-08,1.287153649624259e-08,3.142464964902976e-12,nan
2,8,0,constant,reused_centered,4,7.260415049942107e-09,7.260415049942107e-09,1.7725622680522723e-12,nan
2,8,0,constant,recursive,5,6.319428460478541e-06,6.319428460478541e-06,1.9285365174800235e-10,nan
2,8,0,constant,direct,5,4.377029836177825e-06,4.377029836177825e-06,1.3357634998101273e-10,nan
2,8,0,constant,fe_geometry,5,4.377029836177191e-06,4.377029836177191e-06,1.3357634998099337e-10,nan
2,8,0,constant,reused,5,4.51730385653227e-07,4.51730385653227e-07,1.3785717335608734e-11,nan
2,8,0,constant,reused_centered,5,3.968673806210829e-07,3.968673806210829e-07,1.2111431293368008e-11,nan
2,8,0,constant,recursive,6,0.0004017817759242172,0.0004017817759242172,1.5326758419960679e-09,nan
2,8,0,constant,direct,6,0.0002388104796409607,0.0002388104796409607,9.109896836889676e-10,nan
2,8,0,constant,fe_geometry,6,0.00023881047964087007,0.00023881047964087007,9.109896836886218e-10,nan
2,8,0,constant,reused,6,1.3042882245788715e-05,1.3042882245788715e-05,4.975464723887907e-11,nan
2,8,0,constant,reused_centered,6,3.246830651468529e-05,3.246830651468529e-05,1.2385676008104435e-10,nan
2,8,0,constant,recursive,7,0.03602395978443676,0.03602395978443676,1.7177562610834484e-08,nan
2,8,0,constant,direct,7,0.0077041625976562505,0.0077041625976562505,3.673630999401212e-09,nan
2,8,0,constant,fe_geometry,7,0.007704162597647784,0.007704162597647784,3.673630999397175e-09,nan
2,8,0,constant,reused,7,0.00104970513229411,0.00104970513229411,5.005384122343588e-10,nan
2,8,0,constant,reused_centered,7,0.0017747761899353928,0.0017747761899353928,8.462792348553623e-10,nan
2,8,0,constant,recursive,8,2.7028738665203265,2.7028738665203265,1.6110383668663063e-07,nan
2,8,0,constant,direct,8,0.3240966796875,0.3240966796875,1.9317667465656996e-08,nan
2,8,0,constant,fe_geometry,8,0.32409667968716027,0.32409667968716027,1.9317667465636746e-08,nan
2,8,0,constant,reused,8,0.05492807232308027,0.05492807232308027,3.273968239014165e-09,nan
2,8,0,constant,reused_centered,8,0.08044059201425934,0.08044059201425934,4.7946329125320515e-09,nan
2,8,0,constant,recursive,9,165.67182229876676,165.67182229876676,1.234351264676204e-06,nan
2,8,0,constant,direct,9,11.689453125,11.689453125,8.709321264177561e-08,nan
2,8,0,constant,fe_geometry,9,11.689453124970582,11.689453124970582,8.709321264155643e-08,nan
2,8,0,constant,reused,9,2.489579633153303,2.489579633153303,1.8548813709268742e-08,nan
2,8,0,constant,reused_centered,9,2.4776677454554137,2.4776677454554137,1.846006322991411e-08,nan
2,8,0,constant,recursive,10,5659.35804035877,5659.35804035877,5.270687900817739e-06,nan
2,8,0,constant,direct,10,193.359375,193.359375,1.800799509510398e-07,nan
2,8,0,constant,fe_geometry,10,193.35937500010806,193.35937500010806,1.8007995095114043e-07,nan
2,8,0,constant,reused,10,79.31218565766859,79.31218565766859,7.386522894508074e-08,nan
2,8,0,constant,reused_centered,10,34.38187640868262,34.38187640868262,3.202061765704548e-08,nan
2,8,0,quintic,recursive,1,9.71445146547012e-16,9.71445146547012e-16,1.214306433183765e-16,7.659070388164295e-15
2,8,0,quintic,direct,1,6.418476861114186e-15,6.418476861114186e-15,8.023096076392733e-16,3.295189506282936e-14
2,8,0,quintic,fe_geometry,1,1.2836953722228372e-14,1.2836953722228372e-14,1.6046192152785466e-15,5.854273193303198e-14
2,8,0,quintic,reused,1,9.228728892196614e-16,9.228728892196614e-16,1.1535911115245767e-16,6.372736826525705e-15
2,8,0,quintic,reused_centered,1,4.3021142204224816e-16,4.3021142204224816e-16,5.377642775528102e-17,3.016165110047376e-15
2,8,0,quintic,recursive,2,1.7363888105137448e-13,1.7363888105137448e-13,2.7131075164277263e-15,1.018168962682101e-13
2,8,0,quintic,direct,2,3.106404022901188e-13,3.106404022901188e-13,4.853756285783106e-15,2.1076389738869603e-13
2,8,0,quintic,fe_geometry,2,7.099321130965563e-13,7.099321130965563e-13,1.1092689267133693e-14,4.422453176395591e-13
2,8,0,quintic,reused,2,8.942846463355636e-14,8.942846463355636e-14,1.3973197598993181e-15,5.4073858971686996e-14
2,8,0,quintic,reused_centered,2,1.6486811915683575e-14,1.6486811915683575e-14,2.5760643618255585e-16,1.5007286119701236e-14
2,8,0,quintic,recursive,3,1.2009504501975243e-11,5.0039602091563495e-12,2.3456063480420397e-14,1.0104588110093416e-12
2,8,0,quintic,direct,3,2.6243673900694375e-11,1.8745481357638836e-11,5.12571755872937e-14,2.221968999961219e-12
2,8,0,quintic,fe_geometry,3,3.271138915295069e-11,2.3365277966393342e-11,6.388943193935681e-14,2.8717399695711494e-12
2,8,0,quintic,reused,3,2.7995383788947947e-12,1.7126300377867665e-12,5.467848396278896e-15,3.4508285557651394e-13
