dimension,n,dx,dy,dz,order,method,value,stored_reference,ideal_reference,representation_error,total_error,element_scaled_error,absolute_error,scaled_error,relative_error,step_sensitivity
2,8,5,0,0,5,recursive,119.733569838037709587297285906970500946044921875,120.548876234027293681484193119356586190589437762525801693024944146447597568,120.548876234072912317064613746531876844107898092308200666163476332076277630954518015907626,4.5618635580420627175290653518460329782398973138532185628680062954518015907626E-11,0.815306396035202729767327839561375898062976217308200666163476332076277630954518015907626,0.000024881176635424319280606299206118324113296993637872366120146000562976,0.815306395989584094186907212386085244544515887525801693024944146447597568,0.00676328491363777485118524223496674390596714192664983554031489482698778758905911678901111624,0.00676328491363777485118524223496674390596714192664983554031489482698778758905911678901111624,1.80046758823733960355859952563653847165963037117891942999599427977310114815410383435572963E-17
2,8,5,0,0,5,direct,120.548876234447789101977832615375518798828125,120.548876234027293681484193119356586190589437762525801693024944146447597568,120.548876234072912317064613746531876844107898092308200666163476332076277630954518015907626,4.5618635580420627175290653518460329782398973138532185628680062954518015907626E-11,3.74876784913218868843641954720226907691799333836523667923722369045481984092374E-10,1.2832501846119369385343402351034156417059274504853999437024E-14,4.20495420493639496018932608238687237474198306975055853552402432E-10,3.48817370704735267268464946306644639585870277216953197202663626621455034772940798278185112E-12,3.48817370704735267268464946306644639585870277216953197202663626621455034772940798278185112E-12,1.80046758823733960355859952563653847165963037117891942999599427977310114815410383435572963E-17
2,8,5,0,0,5,fe_geometry,120.54887623497955928542069159448146820068359375,120.548876234027293681484193119356586190589437762525801693024944146447597568,120.548876234072912317064613746531876844107898092308200666163476332076277630954518015907626,4.5618635580420627175290653518460329782398973138532185628680062954518015907626E-11,9.06646968356077847949591356575695657691799333836523667923722369045481984092374E-10,2.9060839963882399753566955874455443953680368254853999437024E-14,9.52265603936498475124882010094155987474198306975055853552402432E-10,7.89941502306350625459560984322424912913509654239103478236795814076366025420234920474818625E-12,7.89941502306350625459560984322424912913509654239103478236795814076366025420234920474818625E-12,1.80046758823733960355859952563653847165963037117891942999599427977310114815410383435572963E-17
2,8,5,0,0,5,reused,120.5488762329129173167530097998678684234619140625,120.548876234027293681484193119356586190589437762525801693024944146447597568,120.548876234072912317064613746531876844107898092308200666163476332076277630954518015907626,4.5618635580420627175290653518460329782398973138532185628680062954518015907626E-11,1.159995000311603946664008420645984029808200666163476332076277630954518015907626E-9,3.4008067771337381576193779514389761353326467682646000562976E-14,1.114376364731183319488717767127523700025801693024944146447597568E-9,9.24418708448008452457502712110522115659943357043639678362636083972948262042727193600270150E-12,9.24418708448008452457502712110522115659943357043639678362636083972948262042727193600270150E-12,1.80046758823733960355859952563653847165963037117891942999599427977310114815410383435572963E-17
2,8,5,0,0,5,reused_centered,120.5488762340875581458021770231425762176513671875,120.548876234027293681484193119356586190589437762525801693024944146447597568,120.548876234072912317064613746531876844107898092308200666163476332076277630954518015907626,4.5618635580420627175290653518460329782398973138532185628680062954518015907626E-11,1.4645828737563276610699373543469095191799333836523667923722369045481984092374E-11,1.839125497985348626281433931333295439886422942353999437024E-15,6.0264464317983903785990027061929424974198306975055853552402432E-11,4.99917263442502935970033357331007018899234421518947398554103711485918946896094593267563853E-13,4.99917263442502935970033357331007018899234421518947398554103711485918946896094593267563853E-13,1.80046758823733960355859952563653847165963037117891942999599427977310114815410383435572963E-17
2,8,2,1,0,3,recursive,0.75730183524388972049479207271360792219638824462890625,0.7573019465510430436750003602547925318604462399668573623217604465376639909064962048,0.757301946550933993047311058457110945140743541622648254217291138199777953450136563591429675,1.09050627689301797681586719702698344209108104469308337886037456359641208570325E-13,1.11307044272552518985743503022944355296993742004217291138199777953450136563591429675E-7,2.173967838343363443116038761907501132721444357662534383721438749822392504E-10,1.113071533231802082875411846096640579953379511123217604465376639909064962048E-7,1.113071533231802082875411846096640579953379511123217604465376639909064962048E-7,1.46978564930544483921384620692510093595770542687283400489164966600566671513191939196392551E-7,7.76587071126099901346734729221868458161888330194089693489693696E-20
2,8,2,1,0,3,direct,0.75730194655227711653111555278883315622806549072265625,0.7573019465510430436750003602547925318604462399668573623217604465376639909064962048,0.757301946550933993047311058457110945140743541622648254217291138199777953450136563591429675,1.09050627689301797681586719702698344209108104469308337886037456359641208570325E-13,1.343123483804494331722211087321949100007995782708861800222046549863436408570325E-12,2.4102985470999854180480944680063491324197024965616278561250177607496E-15,1.2340728561151925340406243676192507557988876782395534623360090935037952E-12,1.2340728561151925340406243676192507557988876782395534623360090935037952E-12,1.62956514470283956834950383370870652037561967394673741756820556485015997382771933438194998E-12,7.76587071126099901346734729221868458161888330194089693489693696E-20
2,8,2,1,0,3,fe_geometry,0.7573019465534136518414243255392648279666900634765625,0.7573019465510430436750003602547925318604462399668573623217604465376639909064962048,0.757301946550933993047311058457110945140743541622648254217291138199777953450136563591429675,1.09050627689301797681586719702698344209108104469308337886037456359641208570325E-13,2.479658794113267082153882825946521853914245782708861800222046549863436408570325E-12,4.6300940750468071962349533325074677923928470278116278561250177607496E-15,2.3706081664239652844722961062438235097051376782395534623360090935037952E-12,2.3706081664239652844722961062438235097051376782395534623360090935037952E-12,3.13033417809151702781556820774411859785303813331092711238058575688456948593927993027728918E-12,7.76587071126099901346734729221868458161888330194089693489693696E-20
2,8,2,1,0,3,reused,0.7573019465509656100721258553676307201385498046875,0.7573019465510430436750003602547925318604462399668573623217604465376639909064962048,0.757301946550933993047311058457110945140743541622648254217291138199777953450136563591429675,1.09050627689301797681586719702698344209108104469308337886037456359641208570325E-13,3.1617024814796910519774997806263064851745782708861800222046549863436408570325E-14,1.512375056142673577379135193289751549948482846883721438749822392504E-16,7.74336028745048871618117218964352793573623217604465376639909064962048E-14,7.74336028745048871618117218964352793573623217604465376639909064962048E-14,1.02249311819622757397552769835332052569651817747037405604466820468046489645355328049586802E-13,7.76587071126099901346734729221868458161888330194089693489693696E-20
2,8,2,1,0,3,reused_centered,0.75730194655107840873142777127213776111602783203125,0.7573019465510430436750003602547925318604462399668573623217604465376639909064962048,0.757301946550933993047311058457110945140743541622648254217291138199777953450136563591429675,1.09050627689301797681586719702698344209108104469308337886037456359641208570325E-13,1.44415684116712815026815975284290408601745782708861800222046549863436408570325E-13,6.90723758347871432524008898077970007668704653116278561250177607496E-17,3.53650564274110173452292555815920643926376782395534623360090935037952E-14,3.53650564274110173452292555815920643926376782395534623360090935037952E-14,4.66987528402284000526300380204829978081011523334565603943002279940967226536918112910075747E-14,7.76587071126099901346734729221868458161888330194089693489693696E-20
