family,n,p,amplitude,basis,map,extra,field,derivative,error_l2_ratio,face_rms_ratio,jump_rms_ratio
tri,4.0,3.0,0.0,gll,coupled,0.0,sine,yy,0.9999999999980355,0.9999999999981392,0.9999999999905035
tri,4.0,3.0,0.0,gll,coupled,0.0,sine,xxx,1.0000000000138762,1.0000000000168079,1.000000000004319
tri,4.0,3.0,0.0,gll,coupled,0.0,sine,xxy,0.9999999999833082,0.9999999999815625,0.9999999999878961
tri,4.0,3.0,0.0,gll,coupled,0.0,sine,xyy,1.0000000000076399,1.000000000007928,1.000000000007294
tri,4.0,3.0,0.0,gll,coupled,0.0,sine,yyy,1.0000000000034341,1.0000000000038585,1.0000000000029652
tri,4.0,3.0,0.0,gll,coupled,0.0,shortwave,x,1.0000000000000167,1.0000000000000304,1.0000000000000637
tri,4.0,3.0,0.0,gll,coupled,0.0,shortwave,y,0.9999999999999168,0.9999999999999212,0.9999999999998418
tri,4.0,3.0,0.0,gll,coupled,0.0,shortwave,xx,1.0000000000000062,1.000000000000017,0.9999999999999489
tri,4.0,3.0,0.0,gll,coupled,0.0,shortwave,xy,0.9999999999999092,0.999999999999896,0.9999999999998378
tri,4.0,3.0,0.0,gll,coupled,0.0,shortwave,yy,0.9999999999998829,0.9999999999998639,0.9999999999997942
tri,4.0,3.0,0.0,gll,coupled,0.0,shortwave,xxx,1.0000000000001341,1.0000000000002454,1.00000000000023
tri,4.0,3.0,0.0,gll,coupled,0.0,shortwave,xxy,0.9999999999997282,0.9999999999996494,0.9999999999999366
tri,4.0,3.0,0.0,gll,coupled,0.0,shortwave,xyy,1.0000000000001965,1.0000000000002485,1.0000000000000853
tri,4.0,3.0,0.0,gll,coupled,0.0,shortwave,yyy,1.000000000000187,1.0000000000001457,1.000000000000077
tri,4.0,3.0,0.0,gll,coupled,0.0,exponential,x,1.000000000172709,1.0000000002017715,1.0000000001914555
tri,4.0,3.0,0.0,gll,coupled,0.0,exponential,y,0.9999999994099454,0.9999999995152471,0.9999999995857407
tri,4.0,3.0,0.0,gll,coupled,0.0,exponential,xx,1.0000000003567,1.000000000420529,0.999999998905647
tri,4.0,3.0,0.0,gll,coupled,0.0,exponential,xy,0.9999999987202717,0.9999999987379867,0.9999999979161079
tri,4.0,3.0,0.0,gll,coupled,0.0,exponential,yy,0.9999999983114516,0.9999999983300377,0.9999999967913604
tri,4.0,3.0,0.0,gll,coupled,0.0,exponential,xxx,1.0000000006892786,1.0000000008251548,1.0000000004399476
tri,4.0,3.0,0.0,gll,coupled,0.0,exponential,xxy,0.9999999988360261,0.9999999987275358,0.9999999987795984
tri,4.0,3.0,0.0,gll,coupled,0.0,exponential,xyy,1.000000001026962,1.0000000009192638,1.0000000009897452
tri,4.0,3.0,0.0,gll,coupled,0.0,exponential,yyy,0.999999997448244,0.9999999975763595,0.9999999958096583
tri,4.0,3.0,0.0,gll,coupled,0.0,constant,x,nan,nan,nan
tri,4.0,3.0,0.0,gll,coupled,0.0,constant,y,nan,nan,nan
tri,4.0,3.0,0.0,gll,coupled,0.0,constant,xx,nan,nan,nan
tri,4.0,3.0,0.0,gll,coupled,0.0,constant,xy,nan,nan,nan
